200427_base400-100.csv;;Patrick;27.04.2020 17:43:33;Lambda 19 UV/Vis/NIR;XXX;Rev. 9B/9C
nm;A
400;0,000362
401;0,000339
402;0,000164
403;-0,000017
404;0,00006
405;-0,000086
406;0,000103
407;0,000292
408;0,000293
409;0,000021
410;-0,000063
411;-0,000516
412;0,000126
413;0,000138
414;0,000291
415;0,000044
416;0,000048
417;-0,000077
418;-0,000021
419;-0,000141
420;0,000119
421;-0,000085
422;-0,000055
423;-0,000044
424;0,000016
425;-0,000031
426;-0,000054
427;-0,000054
428;0,000225
429;-0,000003
430;0,00008
431;-0,000056
432;-0,000009
433;0,000202
434;-0,000062
435;-0,000347
436;0,000007
437;-0,000073
438;0,000137
439;0,000233
440;0,000104
441;0,000145
442;0,000435
443;0,00022
444;0,000315
445;0,00015
446;0,000031
447;0,000268
448;0,000188
449;0,000164
450;0,000357
451;0,000047
452;0,000095
453;0,000247
454;0,000401
455;0,000461
456;0,00041
457;0,000406
458;0,00045
459;0,00021
460;0,000288
461;0,000237
462;0,000239
463;0,000332
464;0,000638
465;0,000235
466;0,000124
467;0,000035
468;0,000144
469;0,000081
470;0,000242
471;0,000306
472;0,000357
473;-0,000061
474;-0,000251
475;-0,000101
476;0,000051
477;0,00021
478;0,000145
479;-0,000272
480;-0,000108
481;-0,000252
482;0,000041
483;0,000064
484;0,000001
485;-0,000033
486;-0,000009
487;-0,000043
488;0,000028
489;-0,000059
490;-0,000044
491;0,000168
492;-0,000016
493;-0,000105
494;-0,000109
495;0,000059
496;-0,000114
497;0,000167
498;0,000078
499;-0,00009
500;0,000048
501;-0,000002
502;0,000043
503;0,000109
504;0,000138
505;0,000168
506;-0,000146
507;-0,000101
508;0,000053
509;0,000249
510;0,000151
511;0,000364
512;0,000173
513;0,000106
514;0,000019
515;0,000426
516;0,000254
517;0,000473
518;0,000177
519;0,000264
520;0,000349
521;0,000331
522;0,000465
523;0,000538
524;0,000223
525;0,000164
526;0,000027
527;0,000464
528;0,000317
529;0,000529
530;0,000498
531;0,000152
532;-0,000004
533;0,000345
534;0,000335
535;0,000754
536;0,000557
537;0,000153
538;0,000098
539;0,000094
540;0,000328
541;0,00051
542;0,000457
543;0,000407
544;0,000181
545;0,00009
546;0,000137
547;0,000047
548;0,000269
549;0,000292
550;0,000291
551;0,000026
552;-0,000106
553;0,000286
554;-0,000098
555;0,000109
556;0,000205
557;0,000014
558;-0,000231
559;-0,00003
560;0,000173
561;0,000128
562;0,000129
563;-0,000232
564;-0,000424
565;-0,000411
566;-0,000245
567;-0,000042
568;0,000039
569;-0,000165
570;0,000008
571;-0,000121
572;0,000053
573;-0,000041
574;-0,000092
575;0,000168
576;0,000038
577;0,000056
578;0,000094
579;0,000456
580;0,000465
581;0,000361
582;0,000211
583;0,000098
584;0,000237
585;0,000359
586;0,000579
587;0,00053
588;0,000273
589;0,000368
590;0,000328
591;0,00017
592;0,000547
593;0,000417
594;0,000674
595;0,000346
596;0,000493
597;0,00017
598;0,000542
599;0,00018
600;0,000592
601;0,00017
602;0,000324
603;0,000413
604;0,00046
605;0,00022
606;0,000129
607;0,000257
608;0,00002
609;0,000193
610;0,000187
611;0,000372
612;0,000342
613;0,000257
614;-0,000085
615;0,000039
616;-0,000082
617;-0,000011
618;-0,000199
619;0,000139
620;0,000036
621;-0,000062
622;-0,00033
623;-0,000339
624;-0,00011
625;-0,000194
626;-0,000384
627;-0,000196
628;-0,000417
629;-0,000095
630;-0,00013
631;-0,000137
632;-0,00021
633;-0,000302
634;-0,000521
635;-0,00025
636;-0,000203
637;-0,000204
638;-0,000111
639;-0,000038
640;-0,000354
641;-0,000048
642;0,000025
643;0,000168
644;-0,000174
645;0,000244
646;-0,000078
647;-0,000123
648;0,000178
649;0,000478
650;0,000123
651;0,000581
652;0,000165
653;0,000301
654;0,000118
655;0,000411
656;0,000262
657;0,000348
658;0,000449
659;0,000729
660;0,000254
661;0,000633
662;0,000492
663;0,000656
664;0,000084
665;0,000442
666;0,000537
667;0,000564
668;0,00066
669;0,000882
670;0,000472
671;0,000508
672;0,000413
673;0,000175
674;0,000441
675;0,00042
676;0,000628
677;0,000496
678;0,000214
679;-0,000057
680;-0,000112
681;-0,000092
682;0,000228
683;0,000365
684;0,000105
685;-0,000102
686;-0,000085
687;-0,000086
688;0,000118
689;0,000053
690;-0,000178
691;-0,000669
692;-0,000322
693;-0,000193
694;-0,00019
695;-0,000552
696;-0,000426
697;-0,000328
698;-0,000166
699;-0,000094
700;-0,000063
701;-0,000457
702;-0,000109
703;-0,000418
704;-0,000241
705;-0,000101
706;-0,000134
707;-0,000038
708;0,000032
709;-0,000207
710;0,000087
711;-0,000235
712;0,000309
713;0,000318
714;0,000449
715;0,000309
716;0,000342
717;0,000206
718;0,00054
719;0,000803
720;0,00062
721;0,000207
722;0,000371
723;0,000497
724;0,000475
725;0,000442
726;0,000576
727;0,000489
728;0,000641
729;0,000475
730;0,000832
731;0,000302
732;0,000314
733;0,000153
734;0,000361
735;0,000416
736;0,000039
737;0,000429
738;0,000672
739;0,000157
740;0,000158
741;0,00011
742;0,000424
743;0,000164
744;0,000069
745;0,000254
746;0,000351
747;-0,000252
748;-0,000073
749;0,000358
750;0,000108
751;-0,000068
752;0,000028
753;-0,00026
754;-0,000315
755;-0,000267
756;-0,000389
757;-0,000203
758;-0,000289
759;-0,000397
760;-0,000222
761;-0,00059
762;-0,000195
763;-0,000107
764;-0,000553
765;-0,000107
766;-0,000415
767;-0,000412
768;-0,000288
769;-0,000227
770;-0,000135
771;-0,0003
772;-0,000477
773;0,000023
774;-0,000063
775;0,000031
776;-0,000382
777;0,000016
778;-0,000191
779;0,000338
780;-0,000343
781;0,000221
782;0,000323
783;-0,000099
784;0,000094
785;0,00019
786;0,000069
787;0,000565
788;0,000519
789;0,000676
790;0,000233
791;0,000188
792;0,000253
793;0,000526
794;0,000793
795;0,000947
796;0,000307
797;0,000527
798;0,000287
799;0,00025
800;0,000145
801;0,000702
802;0,000256
803;0,00022
804;0,000163
805;0,000272
806;0,000034
807;0,000865
808;0,000594
809;0,000082
810;0,000084
811;0,00073
812;0,000123
813;0,000583
814;0,000124
815;0,000193
816;0,000308
817;0,000649
818;0,000224
819;0,000128
820;-0,000007
821;0,000516
822;0,00046
823;0,000552
824;0,000631
825;0,000375
826;0,000168
827;-0,000219
828;0,000272
829;0,000646
830;0,000276
831;0,000606
832;0,000749
833;0,000421
834;-0,000139
835;-0,000223
836;0,000898
837;0,00061
838;0,000329
839;0,000132
840;0,000121
841;-0,00063
842;0,000197
843;0,000925
844;0,000634
845;0,000072
846;-0,000147
847;0,000444
848;0,000294
849;0,000217
850;0,00027
851;0,000301
852;-0,000469
853;0,000369
854;-0,001219
855;-0,001518
856;0,000621
857;-0,000058
858;-0,000311
859;-0,000815
860;-0,000713
861;0,000155
862;0,000525
863;-0,001742
864;-0,000392
865;0,000381
866;-0,000066
867;0,001129
868;0,000236
869;0,000561
870;-0,001996
871;-0,000841
872;0,00036
873;-0,001306
874;0,000383
875;0,000319
876;-0,003802
877;-0,003329
878;-0,000374
879;-0,002187
880;-0,001763
881;-0,002386
882;-0,000376
883;0,001557
884;0,005709
885;-0,003141
886;0,004518
887;0,000814
888;-0,003745
889;-0,001334
890;-0,000181
891;0,001342
892;-0,001859
893;-0,001032
894;0,001344
895;0,000842
896;-0,001281
897;-0,00247
898;-0,002124
899;-0,000621
900;0,004391
901;-0,000673
902;-0,000261
903;-0,000659
904;-0,000031
905;0,0003
906;0,000853
907;0,000523
908;0,000524
909;-0,000074
910;0,000667
911;0,000842
912;0,000794
913;0,001394
914;0,001212
915;0,000838
916;0,001405
917;0,000912
918;0,001507
919;0,001524
920;0,001427
921;0,000957
922;0,001227
923;0,001244
924;0,001738
925;0,001026
926;0,001092
927;0,001023
928;0,000699
929;0,000838
930;0,001793
931;0,000806
932;0,001083
933;0,000172
934;0,00033
935;0,00017
936;0,00103
937;0,000469
938;0,00035
939;-0,000293
940;-0,000256
941;-0,000683
942;-0,00031
943;-0,000378
944;-0,000516
945;-0,000962
946;-0,000546
947;-0,001594
948;-0,001133
949;-0,00076
950;-0,000868
951;-0,00112
952;-0,001408
953;-0,002423
954;-0,001183
955;-0,001342
956;-0,001112
957;-0,001204
