TK_NaOH_abs,,
Wavelength (nm),Abs,
1200,0.5270160437,
1199,0.5275384188,
1198,0.527872324,
1197,0.5281889439,
1196,0.5279402733,
1195,0.5279459953,
1194,0.5276635885,
1193,0.5269719958,
1192,0.5260940194,
1191,0.5252442956,
1190,0.5240049362,
1189,0.5228177905,
1188,0.5214238167,
1187,0.5198537707,
1186,0.5182179213,
1185,0.5166865587,
1184,0.5151233077,
1183,0.5137030482,
1182,0.5123627186,
1181,0.510823071,
1180,0.5096292496,
1179,0.508194983,
1178,0.5072298646,
1177,0.5059620738,
1176,0.5048531294,
1175,0.5038583279,
1174,0.5029444098,
1173,0.501629591,
1172,0.5007624626,
1171,0.4995137751,
1170,0.4983945787,
1169,0.4970445931,
1168,0.4958125055,
1167,0.4941978753,
1166,0.4925642908,
1165,0.4905778766,
1164,0.4887245893,
1163,0.4864116907,
1162,0.4839729965,
1161,0.4810034931,
1160,0.4773592055,
1159,0.4737563133,
1158,0.469658047,
1157,0.4645077884,
1156,0.4593313336,
1155,0.4528024197,
1154,0.4454743862,
1153,0.4367623627,
1152,0.4276266396,
1151,0.4168715179,
1150,0.4051344395,
1149,0.3927018344,
1148,0.3784908056,
1147,0.3632030785,
1146,0.347510308,
1145,0.3311530948,
1144,0.3148423433,
1143,0.2984072566,
1142,0.2817566991,
1141,0.2647247314,
1140,0.248600468,
1139,0.233212322,
1138,0.2180071622,
1137,0.2040730119,
1136,0.1907898039,
1135,0.1779914498,
1134,0.1659738868,
1133,0.1557110995,
1132,0.1463366449,
1131,0.1384171993,
1130,0.1313300878,
1129,0.1248137429,
1128,0.1189437285,
1127,0.1140053719,
1126,0.1095573902,
1125,0.1055943146,
1124,0.1020874903,
1123,0.09907948226,
1122,0.09609939903,
1121,0.09370694309,
1120,0.09133978933,
1119,0.08932416886,
1118,0.08736816049,
1117,0.08573486656,
1116,0.08398458362,
1115,0.08257311583,
1114,0.08086306602,
1113,0.07944434881,
1112,0.07810094953,
1111,0.0768109709,
1110,0.07535862923,
1109,0.07411884516,
1108,0.07261087,
1107,0.07137258351,
1106,0.07013337314,
1105,0.06875758618,
1104,0.06756485254,
1103,0.06623608619,
1102,0.06483016908,
1101,0.06358122826,
1100,0.06245807931,
1099,0.06094974279,
1098,0.05994232371,
1097,0.05856512859,
1096,0.05762783065,
1095,0.05615382642,
1094,0.05520384014,
1093,0.05421703681,
1092,0.05309680849,
1091,0.05191375688,
1090,0.05122270808,
1089,0.0500344336,
1088,0.04921515658,
1087,0.04827949032,
1086,0.04763587564,
1085,0.04674718529,
1084,0.04626968503,
1083,0.04537498951,
1082,0.04492313787,
1081,0.0443505235,
1080,0.04384386167,
1079,0.04333621636,
1078,0.04294623062,
1077,0.04259567708,
1076,0.04227719456,
1075,0.04200810194,
1074,0.04187743738,
1073,0.04162836447,
1072,0.04164448753,
1071,0.04154669121,
1070,0.04142302647,
1069,0.04144182056,
1068,0.0417323634,
1067,0.04178103805,
1066,0.04177605361,
1065,0.04225357249,
1064,0.04252915457,
1063,0.0427810885,
1062,0.04313593358,
1061,0.0436160937,
1060,0.04407154769,
1059,0.04461418837,
1058,0.04519355297,
1057,0.04583508149,
1056,0.04647231102,
1055,0.04732833803,
1054,0.04793946818,
1053,0.04902732745,
1052,0.04991811514,
