200427_OS-Hellma_Küvette.csv;ohne Inhalt;Patrick;27.04.2020 17:46:06;Lambda 19 UV/Vis/NIR;XXX;Rev. 9B/9C
nm;A
400;0,182435
401;0,182469
402;0,182338
403;0,182388
404;0,182244
405;0,182349
406;0,181966
407;0,182217
408;0,181761
409;0,181968
410;0,182173
411;0,182039
412;0,181722
413;0,181944
414;0,181885
415;0,181571
416;0,181716
417;0,18152
418;0,181546
419;0,181435
420;0,181374
421;0,181637
422;0,18164
423;0,181394
424;0,181491
425;0,180838
426;0,181412
427;0,181036
428;0,181468
429;0,181114
430;0,181492
431;0,181269
432;0,180896
433;0,180978
434;0,18103
435;0,180946
436;0,181308
437;0,181117
438;0,181105
439;0,181048
440;0,181234
441;0,181006
442;0,181064
443;0,181673
444;0,182928
445;0,182785
446;0,182917
447;0,182827
448;0,183164
449;0,182983
450;0,183214
451;0,183182
452;0,183312
453;0,183115
454;0,183393
455;0,183123
456;0,182794
457;0,182133
458;0,181863
459;0,181131
460;0,181191
461;0,180663
462;0,180079
463;0,179319
464;0,178961
465;0,178503
466;0,17857
467;0,177764
468;0,177806
469;0,177462
470;0,177503
471;0,177459
472;0,177654
473;0,177452
474;0,177552
475;0,177248
476;0,177398
477;0,176771
478;0,176206
479;0,175835
480;0,176707
481;0,17795
482;0,178861
483;0,178994
484;0,179197
485;0,179641
486;0,180003
487;0,180576
488;0,180807
489;0,181014
490;0,181471
491;0,181835
492;0,182262
493;0,182814
494;0,182834
495;0,18329
496;0,183079
497;0,18326
498;0,183158
499;0,182943
500;0,182839
501;0,182464
502;0,181524
503;0,181367
504;0,180422
505;0,179945
506;0,17932
507;0,178744
508;0,17787
509;0,177727
510;0,177285
511;0,177214
512;0,17687
513;0,176814
514;0,176434
515;0,176652
516;0,176381
517;0,176896
518;0,176814
519;0,17713
520;0,176932
521;0,177057
522;0,176769
523;0,177045
524;0,177299
525;0,177806
526;0,177358
527;0,177546
528;0,177278
529;0,177666
530;0,177595
531;0,177921
532;0,177635
533;0,177762
534;0,177288
535;0,17779
536;0,177714
537;0,178004
538;0,177765
539;0,177814
540;0,177501
541;0,177569
542;0,177516
543;0,177741
544;0,177318
545;0,17791
546;0,177599
547;0,177628
548;0,177514
549;0,177441
550;0,177293
551;0,177477
552;0,177362
553;0,177375
554;0,177292
555;0,177195
556;0,177447
557;0,177367
558;0,177374
559;0,177242
560;0,177035
561;0,177056
562;0,177167
563;0,175794
564;0,17559
565;0,175167
566;0,17524
567;0,174927
568;0,175245
569;0,175303
570;0,175226
571;0,174898
572;0,174947
573;0,174701
574;0,174737
575;0,174715
576;0,175004
577;0,174659
578;0,174657
579;0,174573
580;0,174615
581;0,174492
582;0,174369
583;0,174383
584;0,174513
585;0,174242
586;0,174329
587;0,174264
588;0,174262
589;0,174505
590;0,174286
591;0,174401
592;0,174259
593;0,17441
594;0,174272
595;0,174569
596;0,174432
597;0,174362
598;0,17409
599;0,174359
600;0,174205
601;0,174579
602;0,174344
603;0,174363
604;0,17429
605;0,174548
606;0,174228
607;0,174437
608;0,174656
609;0,174429
610;0,174363
611;0,174526
612;0,174399
613;0,174628
614;0,174604
615;0,174733
616;0,174565
617;0,174672
618;0,174508
619;0,174677
620;0,174449
621;0,1747
622;0,17463
623;0,174788
624;0,174485
625;0,174899
626;0,174674
627;0,174749
628;0,174713
629;0,175021
630;0,174667
631;0,174763
632;0,174579
633;0,174781
634;0,174781
635;0,174601
636;0,174402
637;0,17449
638;0,174458
639;0,174559
640;0,174395
641;0,174553
642;0,17441
643;0,174432
644;0,174462
645;0,174208
646;0,174154
647;0,174368
648;0,174287
649;0,174289
650;0,174251
651;0,17413
652;0,17386
653;0,174051
654;0,174363
655;0,174188
656;0,174139
657;0,174129
658;0,173772
659;0,173908
660;0,174067
661;0,174096
662;0,17406
663;0,173948
664;0,173789
665;0,173933
666;0,173993
667;0,174002
668;0,173871
669;0,173958
670;0,173827
671;0,173827
672;0,173824
673;0,173862
674;0,173855
675;0,17388
676;0,173887
677;0,17385
678;0,174051
679;0,173936
680;0,174141
681;0,17404
682;0,174279
683;0,173925
684;0,174032
685;0,174084
686;0,17407
687;0,174183
688;0,17423
689;0,174043
690;0,174308
691;0,175115
692;0,175379
693;0,175059
694;0,175022
695;0,17526
696;0,175111
697;0,174736
698;0,175348
699;0,175128
700;0,175202
701;0,175022
702;0,175635
703;0,175137
704;0,175429
705;0,175389
706;0,175845
707;0,175692
708;0,175944
709;0,175457
710;0,175537
711;0,175331
712;0,175588
713;0,175893
714;0,176091
715;0,175698
716;0,17564
717;0,175422
718;0,175772
719;0,17555
720;0,176101
721;0,175738
722;0,175894
723;0,175676
724;0,175606
725;0,175567
726;0,176031
727;0,175972
728;0,176065
729;0,175666
730;0,175503
731;0,175425
732;0,175779
733;0,175643
734;0,176022
735;0,175566
736;0,175713
737;0,175548
738;0,175671
739;0,175467
740;0,176081
741;0,175609
742;0,175755
743;0,17562
744;0,175591
745;0,17564
746;0,176019
747;0,175481
748;0,175603
749;0,175516
750;0,175576
751;0,175935
752;0,175525
753;0,175388
754;0,1756
755;0,175553
756;0,175266
757;0,175868
758;0,175498
759;0,175754
760;0,175856
761;0,175832
762;0,175818
763;0,175886
764;0,175796
765;0,176005
766;0,175702
767;0,175548
768;0,175765
769;0,175844
770;0,175661
771;0,175845
772;0,175751
773;0,176312
774;0,175768
775;0,176071
776;0,175656
777;0,17611
778;0,176026
779;0,175971
780;0,176209
781;0,176077
782;0,176067
783;0,176342
784;0,176064
785;0,176377
786;0,176192
787;0,17587
788;0,175846
789;0,176335
790;0,176386
791;0,176396
792;0,175953
793;0,176525
794;0,175945
795;0,176183
796;0,176229
797;0,176717
798;0,176248
799;0,176277
800;0,175994
801;0,176314
802;0,176301
803;0,176113
804;0,175871
805;0,175897
806;0,175938
807;0,175714
808;0,175855
809;0,175841
810;0,175959
811;0,174469
812;0,174448
813;0,17413
814;0,174864
815;0,174449
816;0,174248
817;0,174102
818;0,173733
819;0,173384
820;0,173495
821;0,173637
822;0,173567
823;0,172898
824;0,173329
825;0,172934
826;0,172981
827;0,17306
828;0,17216
829;0,171744
830;0,172723
831;0,171712
832;0,171714
833;0,171594
834;0,171635
835;0,170579
836;0,171367
837;0,170082
838;0,170086
839;0,169457
840;0,169768
841;0,169958
842;0,170028
843;0,169598
844;0,169425
845;0,168932
846;0,16875
847;0,168666
848;0,168398
849;0,16787
850;0,168731
851;0,167794
852;0,166936
853;0,167664
854;0,166667
855;0,166762
856;0,165911
857;0,167048
858;0,166606
859;0,166375
860;0,164981
861;0,165145
862;0,166026
863;0,164457
864;0,164476
865;0,162918
866;0,163329
867;0,162627
868;0,164385
869;0,166525
870;0,163368
871;0,164561
872;0,163104
873;0,163145
874;0,163534
875;0,16305
876;0,163263
877;0,163458
878;0,165983
879;0,164997
880;0,162631
881;0,163169
882;0,162544
883;0,159113
884;0,163262
885;0,159538
886;0,161464
887;0,163487
888;0,162572
889;0,160282
890;0,15687
891;0,165272
892;0,163629
893;0,160698
894;0,158738
895;0,156295
896;0,155084
897;0,162695
898;0,156297
899;0,162204
900;0,06931
901;0,06973
902;0,069988
903;0,068939
904;0,069219
905;0,068466
906;0,068162
907;0,068043
908;0,067895
909;0,06776
910;0,06794
911;0,067006
912;0,067083
913;0,066652
914;0,066107
915;0,066191
916;0,066991
917;0,065977
918;0,066232
919;0,065088
920;0,065113
921;0,065782
922;0,065778
923;0,065264
924;0,065516
925;0,064005
926;0,064366
927;0,064475
928;0,065338
929;0,065422
930;0,06495
931;0,063842
932;0,06449
933;0,064085
934;0,065217
935;0,065222
936;0,065282
937;0,06485
938;0,064635
939;0,064139
940;0,065149
941;0,065148
942;0,065753
943;0,065546
944;0,065265
945;0,064825
946;0,065605
947;0,06503
948;0,066216
949;0,066342
950;0,06665
951;0,066363
952;0,065753
953;0,065772
954;0,066775
955;0,066329
956;0,066987
957;0,066517
958;0,066197
959;0,066409
960;0,066659
961;0,066266
962;0,067198
963;0,066542
964;0,066429
965;0,066413
966;0,06676
967;0,066925
968;0,066998
969;0,066066
970;0,066839
971;0,066476
972;0,06639
973;0,066646
974;0,066538
975;0,065917
976;0,066298
977;0,065193
978;0,065902
979;0,066255
980;0,066057
981;0,065617
982;0,065609
983;0,06493
984;0,065273
985;0,065164
986;0,065336
987;0,065399
988;0,064872
989;0,064508
990;0,06461
991;0,064022
992;0,064709
993;0,064747
994;0,06413
995;0,064423
996;0,063818
997;0,063473
998;0,064197
999;0,064177
1000;0,064112
1001;0,064007
1002;0,062838
1003;0,063367
1004;0,063535
1005;0,064314
1006;0,06436
1007;0,063914
1008;0,063215
1009;0,064045
1010;0,063313
1011;0,064516
1012;0,06445
1013;0,064736
1014;0,063863
1015;0,064481
1016;0,063532
1017;0,065021
1018;0,064472
1019;0,065397
1020;0,065221
1021;0,06507
1022;0,064393
1023;0,065274
1024;0,064581
1025;0,066145
1026;0,065744
1027;0,065987
1028;0,065611
1029;0,065531
1030;0,065118
1031;0,066374
1032;0,065914
1033;0,066977
1034;0,065946
1035;0,065939
1036;0,066053
1037;0,066508
1038;0,066151
1039;0,06692
1040;0,066031
1041;0,066302
1042;0,066286
1043;0,066359
1044;0,066814
1045;0,066974
1046;0,065644
1047;0,066286
1048;0,065984
1049;0,066226
1050;0,066724
1051;0,066485
1052;0,065796
1053;0,066023
1054;0,065402
1055;0,065887
1056;0,066143
1057;0,065806
1058;0,065723
1059;0,065221
1060;0,065051
1061;0,065157
1062;0,065062
1063;0,065025
1064;0,065484
1065;0,06459
1066;0,064751
1067;0,064109
1068;0,064182
1069;0,064726
1070;0,064704
1071;0,064326
1072;0,064611
1073;0,063334
1074;0,063626
1075;0,063879
1076;0,06431
1077;0,064226
1078;0,064304
1079;0,063128
1080;0,063388
1081;0,063341
1082;0,064042
1083;0,064603
1084;0,064278
1085;0,063445
1086;0,063859
1087;0,0633
1088;0,064339
1089;0,064723
1090;0,064666
1091;0,064402
1092;0,064221
1093;0,064035
1094;0,065224
1095;0,064596
1096;0,065385
1097;0,065465
1098;0,065212
1099;0,064823
1100;0,065145
1101;0,064953
1102;0,066206
1103;0,066059
1104;0,066277
1105;0,066132
1106;0,065844
1107;0,065644
1108;0,066453
1109;0,066378
1110;0,067101
1111;0,066874
1112;0,06624
1113;0,066615
1114;0,067082
1115;0,066708
1116;0,067447
1117;0,066419
1118;0,066788
1119;0,066879
1120;0,06669
1121;0,067117
1122;0,06715
1123;0,066373
1124;0,066715
1125;0,066387
1126;0,066787
1127;0,067043
1128;0,066981
1129;0,066508
1130;0,066597
1131;0,06578
1132;0,066228
1133;0,066173
1134;0,066169
1135;0,06641
1136;0,066287
1137;0,065326
1138;0,065923
1139;0,06548
1140;0,066194
1141;0,066029
1142;0,065207
1143;0,065193
1144;0,06512
1145;0,06445
1146;0,065331
1147;0,065244
1148;0,065353
1149;0,065019
1150;0,064188
1151;0,064023
1152;0,064611
1153;0,064658
1154;0,064849
1155;0,064925
1156;0,064234
1157;0,0642
1158;0,063635
1159;0,064384
1160;0,064891
1161;0,064816
1162;0,064063
1163;0,064224
1164;0,063543
1165;0,064775
1166;0,064915
1167;0,065055
1168;0,065128
1169;0,064883
1170;0,063901
1171;0,065246
1172;0,064823
1173;0,066033
1174;0,065723
1175;0,065746
1176;0,065069
1177;0,065748
1178;0,065049
1179;0,066498
1180;0,066001
1181;0,066738
1182;0,066119
1183;0,066273
1184;0,065615
1185;0,066769
1186;0,066159
1187;0,06762
1188;0,066886
1189;0,066786
1190;0,067208
1191;0,06451
1192;0,064896
1193;0,064762
1194;0,064794
1195;0,063747
1196;0,064807
1197;0,064383
1198;0,065375
1199;0,065308
1200;0,065417
1201;0,064656
1202;0,065232
1203;0,064476
1204;0,065999
1205;0,065507
1206;0,065929
1207;0,06568
1208;0,065607
1209;0,065441
1210;0,066281
1211;0,065522
1212;0,067152
1213;0,066278
1214;0,066294
1215;0,066132
1216;0,066439
1217;0,066066
1218;0,067459
1219;0,066365
1220;0,066752
1221;0,066487
1222;0,066376
1223;0,066488
1224;0,067241
1225;0,066928
1226;0,067252
1227;0,066486
1228;0,06646
1229;0,066552
1230;0,066462
1231;0,06694
1232;0,06679
1233;0,066042
1234;0,066409
1235;0,066034
1236;0,066287
1237;0,066667
1238;0,065988
1239;0,065837
1240;0,06591
1241;0,065486
1242;0,065713
1243;0,066079
1244;0,065289
1245;0,06557
1246;0,065017
1247;0,064687
1248;0,065191
1249;0,065281
1250;0,064978
1251;0,06537
1252;0,063934
1253;0,064357
1254;0,063972
1255;0,064394
1256;0,064619
1257;0,064808
1258;0,063882
1259;0,064216
1260;0,063035
1261;0,063549
1262;0,064264
1263;0,064592
1264;0,064257
1265;0,064063
1266;0,062775
1267;0,063813
1268;0,063563
1269;0,064186
1270;0,064573
1271;0,064603
1272;0,063421
1273;0,063974
1274;0,063476
1275;0,064614
1276;0,064615
1277;0,064595
1278;0,064492
1279;0,064617
1280;0,063985
1281;0,065097
1282;0,064709
1283;0,06532
1284;0,065304
1285;0,064868
1286;0,065133
1287;0,065468
1288;0,065078
1289;0,066017
1290;0,065841
1291;0,06587
1292;0,065837
1293;0,06573
1294;0,065701
1295;0,066398
1296;0,065933
1297;0,066737
1298;0,06616
1299;0,065957
1300;0,066113
1301;0,066297
1302;0,066365
1303;0,067031
1304;0,066079
1305;0,066221
1306;0,066177
1307;0,066085
1308;0,066452
1309;0,066811
1310;0,065819
1311;0,066083
1312;0,065802
1313;0,066118
1314;0,066336
1315;0,066243
1316;0,066075
1317;0,066192
1318;0,065336
1319;0,065835
1320;0,065719
1321;0,066013
1322;0,065423
1323;0,065185
1324;0,064944
1325;0,065623
1326;0,064918
1327;0,065096
1328;0,065167
1329;0,064691
1330;0,064493
1331;0,064354
1332;0,064018
1333;0,06483
1334;0,064323
1335;0,064317
1336;0,064345
1337;0,063328
1338;0,063426
1339;0,063507
1340;0,064038
1341;0,06448
1342;0,064116
1343;0,063239
1344;0,063315
1345;0,062991
1346;0,063424
1347;0,064522
1348;0,064234
1349;0,063582
1350;0,064249
1351;0,06205
1352;0,063605
1353;0,063909
