200427_base.csv;leer;Patrick;27.04.2020 17:46:12;Lambda 19 UV/Vis/NIR;XXX;Rev. 9B/9C
nm;A
400;0,000121
401;0,000166
402;-0,00009
403;-0,000324
404;-0,000138
405;-0,00022
406;-0,000184
407;-0,000104
408;-0,000061
409;-0,000034
410;0,000078
411;-0,000058
412;-0,000138
413;-0,000052
414;-0,000088
415;-0,000024
416;-0,000106
417;0,000164
418;-0,000083
419;-0,000116
420;-0,000035
421;0,000241
422;-0,00007
423;0,000027
424;-0,000057
425;0,000154
426;0,000324
427;0,000417
428;0,000164
429;0,000246
430;0,000224
431;0,000365
432;0,000367
433;0,000628
434;0,000366
435;0,000347
436;0,00039
437;0,000515
438;0,000527
439;0,000718
440;0,000314
441;0,000329
442;0,000318
443;0,000682
444;0,000569
445;0,000794
446;0,000401
447;0,00043
448;0,00025
449;0,000587
450;0,00065
451;0,000683
452;0,000146
453;0,00035
454;0,000007
455;0,000275
456;0,000097
457;0,000374
458;0,000218
459;0,000087
460;0,000032
461;0,000049
462;-0,000128
463;0,000053
464;0,000115
465;0,000112
466;0,000097
467;-0,000158
468;-0,000231
469;-0,00005
470;-0,000106
471;-0,00009
472;-0,000361
473;-0,000395
474;-0,000432
475;-0,000399
476;-0,000161
477;-0,000281
478;-0,000084
479;-0,000337
480;-0,000319
481;-0,000306
482;-0,000185
483;-0,000001
484;0,000155
485;-0,000209
486;-0,000178
487;0,000021
488;0,000079
489;-0,000158
490;-0,000083
491;-0,000315
492;0
493;0,000071
494;0,000262
495;0,000035
496;0,000355
497;0,000152
498;0,000239
499;0,000193
500;0,000488
501;0,000344
502;0,00052
503;0,000346
504;0,000258
505;0,000271
506;0,000448
507;0,000459
508;0,000728
509;0,000527
510;0,000481
511;0,000359
512;0,000552
513;0,000502
514;0,000707
515;0,000458
516;0,000332
517;0,000405
518;0,000481
519;0,00047
520;0,000674
521;0,000194
522;0,000126
523;0,000069
524;0,000225
525;0,000144
526;0,00023
527;0,000154
528;0,000145
529;-0,000026
530;0,000139
531;-0,000036
532;0,000078
533;-0,00013
534;0,000005
535;0,000102
536;0,00002
537;-0,00014
538;-0,000099
539;0,000051
540;-0,00001
541;-0,000253
542;-0,000002
543;-0,000248
544;-0,000003
545;0,000069
546;-0,000091
547;-0,000036
548;-0,000179
549;-0,000408
550;-0,000009
551;-0,000129
552;-0,000124
553;-0,000078
554;-0,000199
555;-0,000263
556;-0,000129
557;-0,000105
558;-0,000043
559;0,000134
560;0,000028
561;-0,000001
562;-0,000192
563;0,000079
564;-0,000026
565;-0,000007
566;0,000043
567;0,000266
568;0,000181
569;0,000271
570;0,000078
571;0,000317
572;0,000364
573;0,000482
574;0,000337
575;0,000208
576;0,000293
577;0,000617
578;0,000615
579;0,000581
580;0,000531
581;0,000456
582;0,000351
583;0,000473
584;0,000575
585;0,000748
586;0,000401
587;0,000488
588;0,000211
589;0,00052
590;0,000463
591;0,000735
592;0,000369
593;0,000289
594;0,000365
595;0,000565
596;0,000492
597;0,00052
598;0,000268
599;0,00012
600;0,000109
601;0,000284
602;0,000142
603;0,00022
604;0,000127
605;0,000143
606;0,000066
607;0,000039
608;0,000033
609;0,000041
610;0,000032
611;-0,000102
612;-0,000247
613;-0,000067
614;-0,000169
615;-0,000102
616;-0,000059
617;-0,000015
618;-0,000125
619;-0,000169
620;-0,00012
621;-0,000165
622;-0,000158
623;-0,000076
624;-0,00025
625;-0,000306
