Wellenlänge,PL,Energie,PL,PL normiert
nm,w.E.,eV,w.E.,w.E.
,TDBC_NaOH_c3_em-2,,TDBC_NaOH_c3_em-2,TDBC_NaOH_c3_em-2
570,622.799,2.17543859649123,163183.383145161,0.0224197023822528
571,761.508,2.17162872154116,200228.088570968,0.0275092602433372
572,935.589,2.16783216783217,246862.702722581,0.0339163719837544
573,1150.71,2.16404886561955,304686.664185484,0.0418607838569163
574,1433.45,2.1602787456446,380876.913064516,0.0523285329093928
575,1793.33,2.15652173913043,478161.07358871,0.0656943663871772
576,2252.06,2.15277777777778,602564.079483871,0.0827860476225522
577,2849.67,2.14904679376083,765111.115669355,0.105118322540238
578,3629.21,2.14532871972318,977791.123903226,0.134338347247146
579,4622.61,2.14162348877375,1249748.70887903,0.17170249547252
580,5903.55,2.13793103448276,1601575.98387097,0.220039909756066
581,7528.04,2.1342512908778,2049332.831,0.281557051138769
582,9514.84,2.13058419243986,2599116.66464516,0.357091641042043
583,11863.2,2.12692967409949,3251750.95548387,0.446756815786217
584,14480.3,2.12328767123288,3982736.44903226,0.54718663220031
585,17309.1,2.11965811965812,4777102.21572581,0.656324240017135
586,20180.8,2.1160409556314,5588714.51354839,0.767831342126742
587,22871.8,2.11243611584327,6355575.205,0.873190038212236
588,24996.4,2.10884353741497,6969641.3883871,0.957556355475666
589,26015.8,2.10526315789474,7278570.445,1
590,25559.1,2.10169491525424,7175098.95967742,0.985784092342795
591,23482.3,2.09813874788494,6614452.60185484,0.908757104411708
592,20288.1,2.09459459459459,5734071.51483871,0.787801884747536
593,16582.4,2.09106239460371,4702568.04645161,0.646084019105981
594,13032.2,2.08754208754209,3708249.45096774,0.50947496888144
595,10102.4,2.08403361344538,2884275.93548387,0.396269563821453
596,7889.84,2.08053691275168,2260159.19793548,0.3105224047791
597,6308.5,2.07705192629816,1813230.7875,0.249119081995778
598,5132.73,2.07357859531773,1480229.66041935,0.203368184948487
599,4288.34,2.07011686143573,1240855.38737097,0.17048064544369
600,3632.11,2.06666666666667,1054483.5483871,0.144875090013242
601,3126.63,2.06322795341098,910759.582766129,0.125128909536319
