Wellenlänge,PL,PL NaOH,Korrigierte PL,Energie,PL,PL normiert
nm,w.E.,w.E.,w.E.,eV,w.E.,w.E.
,TDBC_NaOH_c5_em-2,NaOH_em-1,TDBC_NaOH_c5_em-2,,TDBC_NaOH_c5_em-2,TDBC_NaOH_c5_em-2
570,119.02,43.042,75.978,2.17543859649123,19907.4614516129,0.0866017020707897
571,124.06,45.6363,78.4237,2.17162872154116,20620.436751371,0.0897032966484589
572,130.53,44.9094,85.6206,2.16783216783217,22591.6857987097,0.0982786503227529
573,135.409,43.3381,92.0709,2.16404886561955,24378.6665533064,0.106052397633126
574,141.983,42.7326,99.2504,2.1602787456446,26371.4716051613,0.114721524523331
575,151.249,40.8534,110.3956,2.15652173913043,29435.1171370968,0.128049035831192
576,164.226,42.2782,121.9478,2.15277777777778,32628.51072,0.141940978826212
577,178.997,44.8165,134.1805,2.14904679376083,36026.2739391129,0.156721973315334
578,195.934,45.597,150.337,2.14532871972318,40504.1825064516,0.176201830382568
579,234.411,44.8415,189.5695,2.14162348877375,51251.1844754032,0.22295358047042
580,276.585,44.6971,231.8879,2.13793103448276,62908.9431935484,0.273667316612813
581,331.27,45.8534,285.4166,2.1342512908778,77697.9942843548,0.338002842244181
582,406.974,44.11,362.864,2.13058419243986,99121.5689806452,0.431199960201635
583,502.508,43.6149,458.8931,2.12692967409949,125784.449085403,0.547189173833611
584,602.917,44.136,558.781,2.12328767123288,153690.010270968,0.668584315137006
585,721.127,45.8603,675.2667,2.11965811965812,186365.44065121,0.810729404489686
586,810.308,46.7044,763.6036,2.1160409556314,211466.469214194,0.919924230890106
587,875.079,47.8325,827.2465,2.11243611584327,229873.789724597,1
588,857.37,46.2466,811.1234,2.10884353741497,226162.136136774,0.983853515477909
589,814.226,46.1718,768.0542,2.10526315789474,214882.363805,0.934784100712145
590,724.083,49.8297,674.2533,2.10169491525424,189280.301395161,0.823409670245272
591,589.228,50.0262,539.2018,2.09813874788494,151881.406375645,0.660716502553895
592,472.699,50.9237,421.7753,2.09459459459459,119207.305434839,0.518577196546229
593,373.558,45.4558,328.1022,2.09106239460371,93045.8149417742,0.404769134633613
594,298.278,48.1197,250.1583,2.08754208754209,71181.3338216129,0.309653979720318
595,246.97,51.3181,195.6519,2.08403361344538,55859.4063689516,0.243000328292646
596,199.354,50.2755,149.0785,2.08053691275168,42705.7003677419,0.185778902496479
597,172.513,49.4417,123.0713,2.07705192629816,35373.9669045968,0.153884298627421
598,151.694,46.8396,104.8544,2.07357859531773,30238.99424,0.131546072635024
599,140.43,44.9303,95.4997,2.07011686143573,27633.3773062097,0.120211083391961
600,128.257,48.4449,79.8121,2.06666666666667,23171.2548387097,0.100799899225006
601,116.435,50.5368,65.8982,2.06322795341098,19195.5610791936,0.0835047836562447
602,112.576,49.2681,63.3079,2.05980066445183,18502.4485416129,0.0804895963292726
603,107.291,47.7394,59.5516,2.05638474295191,17462.4981648387,0.0759655904475229
604,102.864,49.9531,52.9109,2.05298013245033,15566.7281406452,0.0677185866178788
605,94.2055,51.1956,43.0099,2.0495867768595,12695.7247157258,0.055229109551533
606,95.0222,52.1697,42.8525,2.04620462046205,12691.1134596774,0.0552090496044902
607,94.0833,51.2194,42.8639,2.04283360790774,12736.4202347581,0.0554061437366004
608,92.1939,51.3963,40.7976,2.03947368421053,12162.4225858065,0.0529091315733638
609,92.4402,51.7452,40.695,2.03612479474548,12171.7760443548,0.0529498211124348
610,89.4014,54.1135,35.2879,2.0327868852459,10589.2157983871,0.046065346602036
611,82.4542,54.075,28.3792,2.02945990180033,8543.99300258064,0.0371681913489001
612,84.4589,53.1013,31.3576,2.02614379084967,9471.61365677419,0.0412035389859878
613,85.8492,49.223,36.6262,2.02283849918434,11099.1859256452,0.0482838253936766
614,81.7055,52.5478,29.1577,2.01954397394137,8864.78731387097,0.0385637150041835
615,82.0161,52.4053,29.6108,2.01626016260163,9031.89099193549,0.0392906516343436
616,78.8679,55.9794,22.8885,2.01298701298701,7004.17633548387,0.0304696605205635
617,80.7475,52.565,28.1825,2.0097244732577,8652.23205040322,0.037639054286133
618,81.8107,49.9931,31.8176,2.00647249190939,9799.92343741935,0.0426317565354462
619,81.3486,51.1996,30.149,2.0032310177706,9316.06531370968,0.040526870526957
620,79.0163,53.0503,25.966,2,8049.46,0.0350168673411778
621,77.1093,52.5946,24.5147,1.99677938808374,7624.09146991936,0.0331664235363827
622,78.7826,53.5961,25.1865,1.9935691318328,7858.26924677419,0.0341851467981143
623,82.6122,51.4537,31.1585,1.99036918138042,9752.83665040323,0.0424269189718747
624,78.0883,53.323,24.7653,1.98717948717949,7776.62375225807,0.0338299714881586
625,78.2819,54.6697,23.6122,1.984,7438.31905241935,0.0323582739090478
626,74.0569,54.4688,19.5881,1.98083067092652,6190.40828677419,0.0269295959934827
627,76.0949,55.0853,21.0096,1.97767145135566,6660.87341806452,0.0289762196292351
628,76.3593,55.6025,20.7568,1.97452229299363,6601.73371870968,0.0287189493270154
629,76.569,57.6679,18.9011,1.97138314785374,6030.68556862903,0.0262347681127725
630,78.9746,58.4904,20.4842,1.96825396825397,6556.5959516129,0.0285225904156716
631,80.5283,59.3354,21.1929,1.96513470681458,6804.98891685484,0.0296031527779119
632,76.4567,57.2166,19.2401,1.9620253164557,6197.54653419355,0.0269606488918054
633,76.72,55.7001,21.0199,1.95892575039494,6792.29250895161,0.0295479206963491
634,71.3162,57.7744,13.5418,1.95583596214511,4389.68367806451,0.019096059987194
635,76.7551,56.1665,20.5886,1.95275590551181,6695.03083467742,0.0291248116746954
636,72.6889,60.6475,12.0414,1.9496855345912,3927.98236645161,0.0170875608356985
637,78.3992,58.9678,19.4314,1.94662480376766,6358.59656983871,0.027661250886657
638,75.2902,59.3874,15.9028,1.9435736677116,5220.27364774193,0.0227093034573283
639,73.8961,64.9365,8.95960000000001,1.94053208137715,2950.31679967742,0.0128345071580892
640,70.4092,67.5101,2.8991,1.9375,957.638193548389,0.00416593033375271
641,73.7588,62.3062,11.4526,1.93447737909516,3794.88366177419,0.0165085530904619
