TITLE;NaOH_1mmK_em
DATA TYPE;FLUORESCENCE SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;14/03/18
TIME;15:13:25
SPECTROMETER/DATA SYSTEM;
LOCALE;1031
RESOLUTION;
DELTAX;1
XUNITS;NANOMETERS
YUNITS;INTENSITY
FIRSTX;  570,0000
LASTX;  900,0000
NPOINTS;     331
FIRSTY;    20,49974
MAXY;    37,29877
MINY;   -12,80778
XYDATA
570,0000;20,4997
571,0000;20,7627
572,0000;20,9262
573,0000;21,0242
574,0000;21,0852
575,0000;21,1984
576,0000;21,5314
577,0000;21,8586
578,0000;22,1375
579,0000;22,1746
580,0000;22,2814
581,0000;22,3344
582,0000;22,2472
583,0000;22,3099
584,0000;22,2843
585,0000;22,2514
586,0000;22,061
587,0000;21,606
588,0000;20,9461
589,0000;19,9108
590,0000;18,6489
591,0000;17,5741
592,0000;17,3387
593,0000;17,3698
594,0000;17,5502
595,0000;17,7792
596,0000;17,9739
597,0000;17,8308
598,0000;17,5253
599,0000;16,8392
600,0000;15,9335
601,0000;12,8164
602,0000;9,05382
603,0000;7,65401
604,0000;9,78575
605,0000;12,9176
606,0000;14,8702
607,0000;15,0256
608,0000;14,4029
609,0000;13,7065
610,0000;13,2771
611,0000;13,2215
612,0000;13,2351
613,0000;12,8023
614,0000;12,636
615,0000;12,4904
616,0000;12,4909
617,0000;12,5774
618,0000;11,8868
619,0000;11,6539
620,0000;11,2273
621,0000;10,9106
622,0000;10,8027
623,0000;10,5811
624,0000;10,6538
625,0000;10,4189
626,0000;10,0534
627,0000;9,6504
628,0000;9,29904
629,0000;8,91741
630,0000;8,53156
631,0000;8,54405
632,0000;8,4021
633,0000;8,40692
634,0000;8,08955
635,0000;8,09568
636,0000;7,94045
637,0000;7,7152
638,0000;7,74274
639,0000;7,78625
640,0000;7,70209
641,0000;7,38962
642,0000;7,22877
643,0000;7,30282
644,0000;7,22898
645,0000;7,12169
646,0000;6,8804
647,0000;6,69478
648,0000;6,91806
649,0000;7,23089
650,0000;7,04728
651,0000;6,60853
652,0000;6,59378
653,0000;6,46869
654,0000;6,61041
655,0000;6,56394
656,0000;6,45514
657,0000;6,31376
658,0000;6,3065
659,0000;6,24668
660,0000;6,05954
661,0000;5,86617
662,0000;5,64708
663,0000;5,67987
664,0000;5,83276
665,0000;5,71268
666,0000;5,57281
667,0000;5,42012
668,0000;5,34691
669,0000;5,34247
670,0000;5,45581
671,0000;5,16669
672,0000;4,9936
673,0000;4,87732
674,0000;4,58768
675,0000;4,50743
676,0000;4,43201
677,0000;4,42049
678,0000;4,37345
679,0000;4,37636
680,0000;4,11777
681,0000;4,0942
682,0000;4,1308
683,0000;4,15531
684,0000;4,15861
685,0000;4,00425
686,0000;4,11308
